term,no_context,basic_context,no_context_percentile,basic_context_percentile
Lebesgue measure,0.9460459874524477,0.9669496356787839,65.15625,74.6875
Lebesgue outer measure,0.9431489769320843,0.9644642873515852,59.375,65.9375
left,,,,
left algebra ideal,0.9503170662155938,0.9525545493106854,71.5625,20.0
left coset,0.9456790689416464,0.9659629109676885,64.375,71.5625
left ideal,0.9031271680267527,0.9469121776875334,7.656250000000001,10.0
left ideals,0.9114541938634331,0.9500896650149652,14.84375,14.21875
left identity element,0.9559144264680506,0.9645178855440517,79.84375,66.25
left inverse element,0.9702802821421916,0.9689732753970448,92.5,80.15625
left ring ideal,0.9508982217193622,0.9580210907662113,72.96875,37.5
Lie algebra,0.8906511298965907,0.9460677454076396,2.34375,8.4375
Lie algebra homomorphism,0.952887431975545,0.9524667003891872,76.5625,19.6875
Lie algebra representation,0.9445903387794689,0.961180233665798,62.03125000000001,51.09375000000001
Lie algebras,0.8925203748637783,0.9448383963601578,2.8125,6.406249999999999
Lie correspondence,0.9224493578985555,0.9661759223658433,26.25,72.03125
Lie group,0.8852984069109084,0.9602860066938537,1.7187500000000002,45.625
Lie groups,0.9022989346880663,0.9562336436599406,7.03125,31.71875
limit,,,,
limit of some sequence,0.9480528012550851,0.9651189653421458,67.5,69.375
limit point,0.9188226395377781,0.9502102153104186,21.5625,14.6875
limit points,0.9155701536748553,0.9517901165912805,18.28125,18.4375
linear,,,,
linear Lie algebra,0.9432336284707515,0.9634557822753334,59.53125,62.34375
linear transformation,0.9173587364348743,0.957507478795133,20.15625,35.78125
linear transformation norm,0.9568444312535197,0.9647448185593395,81.09375,67.65625
linear transformations,0.9401560611240528,0.9612789079415189,52.34375,51.40625
linearly dependent,0.9419005362432327,0.9569268759824591,56.56250000000001,33.75
linearly independent,0.9328208834748072,0.9605567877758399,40.15625,47.5
linearly independent group elements,0.9644306370081068,0.9679608393793936,89.21875,77.96875
local,,,,
local maximum,0.8997851612500636,0.9357886416777728,4.84375,1.25
local minimum,0.9109776491843021,0.9516477662745116,14.21875,17.8125
